TIMESTAMP,SYMBOL,avg_chg_oi_CE,avg_chg_oi_PE,avg_price_CE,avg_price_PE,total_contracts_CE,total_contracts_PE,total_open_int_CE,total_open_int_PE,PCR,PRICE,PRICE_NEXT,price_change,price_pct_change,price_rolling_mean,total_oi,total_volume,oi_diff,chg_oi_total,oi_build_up,direction,volatility
214-12-12,BANKNIFTY,0.0,0.0,213.45,0.0,0.0,0.0,0.0,0.0,0.0,106.725,2186.975,2080.25,19.491684235183886,203.3,0.0,0.0,0.0,0.0,neutral,1,1
214-12-19,BANKNIFTY,0.0,0.0,4373.95,0.0,2.0,0.0,10075.0,0.0,0.0,2186.975,377.175,-1809.8,-0.8275357514374879,634.8,10075.0,2.0,10075.0,0.0,neutral,0,0
214-12-30,BANKNIFTY,0.0,0.0,754.35,0.0,0.0,0.0,0.0,0.0,0.0,377.175,623.825,246.65000000000003,0.6539404785576988,587.105,0.0,0.0,0.0,0.0,neutral,1,0
215-01-12,BANKNIFTY,0.0,0.0,0.0,1247.65,0.0,0.0,0.0,0.0,0.0,623.825,992.225,368.4,0.5905502344407485,660.775,0.0,0.0,0.0,0.0,neutral,1,0
215-01-13,BANKNIFTY,0.0,0.0,475.0,1509.45,0.0,0.0,550.0,0.0,0.0,992.225,789.55,-202.67500000000007,-0.2042631459598378,857.385,550.0,0.0,550.0,0.0,neutral,0,0
215-01-27,BANKNIFTY,0.0,0.0,0.0,1579.1,0.0,0.0,0.0,-34539922.25204993,0.0,789.55,971.5,181.95000000000005,0.23044772338673936,993.95,-34539922.25204993,0.0,34539922.25204993,0.0,neutral,1,0
215-01-30,BANKNIFTY,4280214.434137309,0.0,1943.0,0.0,0.0,0.0,0.0,0.0,0.0,971.5,543.425,-428.07500000000005,-0.44063304168811124,750.855,0.0,0.0,0.0,4280214.434137309,bearish,0,0
215-02-02,BANKNIFTY,0.0,0.0,0.0,1086.85,0.0,0.0,0.0,-58277314.365064114,0.0,543.425,839.05,295.625,0.5440033123246079,784.1049999999999,-58277314.365064114,0.0,58277314.365064114,0.0,neutral,1,0
215-02-10,BANKNIFTY,0.0,0.0,0.0,1678.1,0.0,0.0,0.0,25.0,0.0,839.05,1110.175,271.125,0.3231333055241047,827.15,25.0,0.0,-25.0,0.0,neutral,1,0
215-02-12,BANKNIFTY,0.0,0.0,2220.35,0.0,0.0,0.0,0.0,0.0,0.0,1110.175,508.4,-601.775,-0.5420541806471952,850.74,0.0,0.0,0.0,0.0,neutral,0,0
215-03-04,BANKNIFTY,0.0,1900.0,787.85,228.95,0.0,2024.0,0.0,24900.0,0.0,508.4,826.25,317.85,0.6251966955153423,794.51,24900.0,2024.0,-24900.0,1900.0,bullish,1,0
215-03-10,BANKNIFTY,0.0,0.0,1652.5,0.0,0.0,0.0,0.0,0.0,0.0,826.25,920.0125,93.76250000000005,0.1134795763993949,765.4599999999999,0.0,0.0,0.0,0.0,neutral,1,0
215-03-11,BANKNIFTY,0.0,0.0,1840.025,0.0,0.0,0.0,37197957.34333574,0.0,0.0,920.0125,868.375,-51.637500000000045,-0.056126954796809875,840.7774999999999,37197957.34333574,0.0,37197957.34333574,0.0,neutral,0,0
215-03-12,BANKNIFTY,0.0,0.0,0.0,1736.75,0.0,0.0,0.0,0.0,0.0,868.375,1.95,-866.425,-0.9977544263710953,846.6424999999999,0.0,0.0,0.0,0.0,neutral,0,0
215-03-13,BANKNIFTY,-1525.0,0.0,3.9,0.0,61.0,0.0,37688787.25182392,0.0,0.0,1.95,598.175,596.2249999999999,305.7564102564102,624.9975000000001,37688787.25182392,61.0,37688787.25182392,-1525.0,neutral,1,1
215-03-17,BANKNIFTY,0.0,0.0,0.0,1196.35,0.0,0.0,0.0,0.0,0.0,598.175,174.025,-424.15,-0.7090734316880511,642.9525,0.0,0.0,0.0,0.0,neutral,0,0
215-03-19,BANKNIFTY,0.0,-4531006.432903601,0.0,348.05,0.0,0.0,0.0,58382991.8654458,0.0,174.025,0.875,-173.15,-0.9949719867835081,512.5074999999999,58382991.8654458,0.0,-58382991.8654458,-4531006.432903601,neutral,0,0
215-03-20,BANKNIFTY,4392894.962695488,0.0,1.75,0.0,360.0,0.0,-45466047.31577853,0.0,-0.0,0.875,761.6,760.725,869.4,328.68,-45466047.31577853,360.0,-45466047.31577853,4392894.962695488,bullish,1,1
215-03-23,BANKNIFTY,-5212949.539904038,0.0,1523.2,0.0,0.0,0.0,0.0,0.0,0.0,761.6,8403.86799703321,7642.26799703321,10.034490542323017,307.325,0.0,0.0,0.0,-5212949.539904038,neutral,1,1
